 	Label	X	Y	Major	Minor	Angle
132	CombinedStack-1.tif:YPD_052315_015_RFPstack_017	78.849	99.432	43.009	29.989	135.332
133	CombinedStack-1.tif:YPD_052315_015_RFPstack_017	131.615	132.337	115.062	86.423	106.748
134	CombinedStack-1.tif:YPD_052315_015_RFPstack_018	116.355	119.029	98.441	85.740	24.680
135	CombinedStack-1.tif:YPD_052315_015_RFPstack_018	167.007	127.843	30.093	25.047	156.193
136	CombinedStack-1.tif:YPD_052315_017_RFPstack_021	129.030	115.073	97.868	79.697	89.690
137	CombinedStack-1.tif:YPD_052315_019_RFPstack_022	148.509	85.041	59.020	49.381	55.521
138	CombinedStack-1.tif:YPD_052315_019_RFPstack_022	109.223	147.594	99.819	85.130	54.400
139	CombinedStack-1.tif:YPD_052315_019_RFPstack_023	127.033	110.583	99.151	79.540	62.348
140	CombinedStack-1.tif:YPD_052315_019_RFPstack_023	109.352	175.747	43.022	38.888	126.998
141	CombinedStack-1.tif:YPD_052315_019_RFPstack_024	128.570	129.338	94.620	77.037	89.796
142	CombinedStack-1.tif:YPD_052315_019_RFPstack_025	124.201	122.370	108.430	88.151	19.917
143	CombinedStack-1.tif:YPD_052315_021_RFPstack_026	96.772	109.484	117.694	90.235	171.077
144	CombinedStack-1.tif:YPD_052315_021_RFPstack_026	175.639	139.948	64.633	56.124	139.369
145	CombinedStack-1.tif:YPD_052315_021_RFPstack_027	126.717	125.674	106.878	86.703	146.590
146	CombinedStack-1.tif:YPD_052315_023_RFPstack_029	127.594	105.551	108.743	92.897	37.468
147	CombinedStack-1.tif:YPD_052315_023_RFPstack_029	133.953	180.629	61.178	47.327	112.769
148	CombinedStack-1.tif:YPD_052315_023_RFPstack_030	139.006	111.414	99.247	80.541	66.678
149	CombinedStack-1.tif:YPD_052315_023_RFPstack_030	97.818	163.122	40.704	36.786	69.264
150	CombinedStack-1.tif:YPD_052315_025_RFPstack_031	142.767	78.499	82.596	67.334	70.554
151	CombinedStack-1.tif:YPD_052315_025_RFPstack_031	105.951	153.071	98.461	83.330	101.974
152	CombinedStack-1.tif:YPD_052315_027_RFPstack_032	153.158	76.964	68.745	63.028	65.578
153	CombinedStack-1.tif:YPD_052315_027_RFPstack_032	105.108	146.457	106.924	82.164	90.932
154	CombinedStack-1.tif:YPD_052315_031_RFPstack_034	152.672	125.879	95.626	78.957	168.551
155	CombinedStack-1.tif:YPD_052315_031_RFPstack_034	77.658	143.172	67.477	59.665	15.948
156	CombinedStack-1.tif:YPD_052315_031_RFPstack_035	128.297	116.663	113.213	96.596	168.412
157	CombinedStack-1.tif:YPD_052315_031_RFPstack_035	81.895	166.624	51.703	47.085	69.339
158	CombinedStack-1.tif:YPD_052315_031_RFPstack_036	123.885	133.644	96.136	78.750	159.047
159	CombinedStack-1.tif:YPD_052315_033_RFPstack_037	123.482	124.212	104.426	75.607	21.967
160	CombinedStack-1.tif:YPD_052315_033_RFPstack_038	130.120	128.571	112.117	80.017	114.249
161	CombinedStack-1.tif:YPE_042515_001_RFPstack_000	124.191	124.516	89.692	65.698	36.402
162	CombinedStack-1.tif:YPE_042515_005_RFPstack_001	172.220	92.357	21.616	19.321	124.823
163	CombinedStack-1.tif:YPE_042515_005_RFPstack_001	125.498	124.048	102.733	79.345	62.645
164	CombinedStack-1.tif:YPE_042515_007_RFPstack_004	121.053	84.187	34.953	29.287	108.795
165	CombinedStack-1.tif:YPE_042515_007_RFPstack_004	128.807	135.095	99.432	72.093	48.203
